rate,sttl,sload,dload,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_src_ltm,ct_srv_dst,state_CON,state_INT,label
1.3677107958968676e-05,0.1383928571428571,1.1893137825520832e-06,0.000149786,0.0,0.1666666666666666,0.02,0.0,0.0,0.039215686,0.016949153,0.0,0,0,Normal
4.25209668724371e-05,0.1383928571428571,9.193798828125e-05,0.000363585,0.019607843,0.1666666666666666,0.0,0.0,0.0,0.019607843,0.0,0.0,0,0,Normal
0.4999999998,0.9955357142857144,0.1197916666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0588235294117647,0.016949153,0.0,0,1,Normal
4.319588587041235e-05,0.1383928571428571,6.828761206597222e-06,0.000869388,0.039215686,0.1666666666666666,0.0,0.0,0.0,0.019607843,0.0,0.039215686,0,0,Normal
4.43764678668706e-05,0.9955357142857144,9.234825134548612e-06,0.000236435,0.098039216,0.1666666666666666,0.0,0.0,0.0,0.0,0.016949153,0.039215686,0,0,Normal
2.591597392225208e-05,0.1383928571428571,2.307241651909722e-06,0.000322142,0.0,0.5,0.0,0.0,0.0,0.019607843,0.016949153,0.0,1,0,Normal
3.111131490666606e-05,0.9955357142857144,6.684866163194444e-06,0.000594172,0.098039216,0.1666666666666666,0.0,0.0,0.0,0.019607843,0.0,0.1372549019607843,0,0,Normal
3.443545089669365e-05,0.1383928571428571,3.5391991931423607e-06,0.005630386,0.098039216,0.1666666666666666,0.0,0.0,0.0,0.019607843,0.016949153,0.0,0,0,Normal
5.462391283612826e-05,0.1383928571428571,1.3984733580729169e-05,0.000291032,0.078431373,0.1666666666666666,0.0,0.0,0.0,0.0588235294117647,0.0,0.1372549019607843,0,0,Normal
5.037693984886919e-05,0.1383928571428571,7.408373515625e-06,0.002091273,0.039215686,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.1372549019607843,0,0,Normal
5.056361384830916e-05,0.9955357142857144,1.04170405078125e-05,0.000269399,0.039215686,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.039215686,0,0,Normal
3.8610096884169705e-05,0.1383928571428571,8.853509691840278e-06,0.001499308,0.098039216,0.1666666666666666,0.0,0.0,0.0,0.039215686,0.0,0.019607843,0,0,Normal
5.193294284420117e-05,0.9955357142857144,8.162608676215278e-06,0.000276695,0.098039216,0.1666666666666666,0.0,0.0,0.0,0.039215686,0.0,0.0,0,0,Normal
3.1912768904261695e-05,0.1383928571428571,4.420664891493056e-06,0.000784426,0.098039216,0.1666666666666666,0.0,0.0,0.0,0.019607843,0.0,0.1372549019607843,0,0,Normal
4.9882333850353e-05,0.1383928571428571,7.376391093749999e-06,0.002486354,0.078431373,0.1666666666666666,0.0,0.0,0.0,0.0588235294117647,0.0,0.1372549019607843,0,0,Normal
3.19760339040719e-05,0.1383928571428571,4.166467878472222e-06,0.001668033,0.078431373,0.1666666666666666,0.0,0.0,0.0,0.0588235294117647,0.0,0.1372549019607843,0,0,Normal
8.447381374657857e-05,0.1383928571428571,9.335283914930556e-06,0.0260275036759573,0.098039216,0.1666666666666666,0.0,0.0,0.0,0.7647058823529411,0.0,0.1372549019607843,0,0,Normal
5.735589282793232e-05,0.1383928571428571,1.0182749431423612e-05,0.004154977,0.098039216,0.1666666666666666,0.0,0.0,0.0,0.019607843,0.0,0.0,0,0,Normal
4.404712386785863e-05,0.1383928571428571,4.701809353298611e-05,0.000587145,0.019607843,0.1666666666666666,0.02,0.0,0.0,0.019607843,0.0,0.019607843,0,0,Normal
5.581401183255796e-05,0.1383928571428571,8.641139561631944e-06,0.002538369,0.078431373,0.1666666666666666,0.0,0.0,0.0,0.0588235294117647,0.0,0.039215686,0,0,Normal
6.572802180281593e-05,0.1383928571428571,4.151243421875e-05,0.001434183,0.098039216,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.019607843,0,0,Normal
3.793821488618536e-05,0.9955357142857144,6.570997873263889e-06,0.000246826,0.098039216,0.1666666666666666,0.0,0.0,0.0,0.039215686,0.0,0.0,0,0,Normal
6.509992780470022e-05,0.1383928571428571,9.208213806423613e-06,0.005247945,0.078431373,0.1666666666666666,0.0,0.0,0.0,0.0588235294117647,0.0,0.1372549019607843,0,0,Normal
6.730989379807032e-05,0.1383928571428571,5.301989661458334e-06,0.0150552712047105,0.098039216,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.039215686,0,0,Normal
5.761410782715767e-05,0.1383928571428571,8.4743557421875e-05,0.000610177,0.0,0.1666666666666666,0.02,0.0,0.0,0.039215686,0.0,0.019607843,0,0,Normal
9.174949972475152e-07,0.0,1.607259778645833e-07,0.000101413,0.039215686,0.0,0.16,0.02,0.0,0.019607843,0.050847458,0.078431373,0,0,Normal
1.331848996004453e-06,0.0,2.333122890625e-07,0.000147213,0.039215686,0.0,0.16,0.0399999999999999,0.0,0.0,0.1864406779661017,0.078431373,0,0,Normal
8.39147997482556e-07,0.0,1.470012400173611e-07,9.27535188177354e-05,0.039215686,0.0,0.14,0.0399999999999999,0.0,0.0,0.1864406779661017,0.0,0,0,Normal
0.003018268,0.0,0.004573184,0.015132721,0.039215686,0.0,0.18,0.0,0.0,0.0588235294117647,0.2033898305084745,0.039215686,0,0,Normal
4.35337348693988e-05,0.9955357142857144,1.2321380616319444e-05,0.000731199,0.0,0.1666666666666666,0.0,0.0,0.0,0.019607843,0.0,0.0,0,0,Normal
9.22422997232731e-07,0.0,1.615893576388889e-07,0.000101958,0.019607843,0.0,0.16,0.02,0.0,0.0,0.033898305,0.078431373,0,0,Normal
0.004479522,0.0,0.000352555,0.6156143788022244,0.039215686,0.0,0.18,0.0,0.0,0.0588235294117647,0.2033898305084745,0.039215686,0,0,Normal
